Job_Id,Position,Company,Job_Description,Opening_Date,Closing_Date,Details,Url,,,,Link
813585,Management Accountant,Ethimale Plantation (Pvt) Ltd,Relevant qualification (CMA or CGMA) will be preferred ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=20&ac=DEFZZZ&jc=0000813585&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=20&ac=DEFZZZ&jc=0000813585&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=20&ac=DEFZZZ&jc=0000813585&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=20&ac=DEFZZZ&jc=0000813585&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
813584,Front Office Executive,Brescia Grameen (Pvt) Ltd,Please refer the advertisement ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=21&ac=DEFZZZ&jc=0000813584&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=21&ac=DEFZZZ&jc=0000813584&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=21&ac=DEFZZZ&jc=0000813584&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=21&ac=DEFZZZ&jc=0000813584&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
813583,Junior Sales Executive (2),Keells Food Products PLC,Please refer the advertisement. ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=22&ac=0000000049&jc=0000813583&ec=0000000660&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=22&ac=0000000049&jc=0000813583&ec=0000000660&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=22&ac=0000000049&jc=0000813583&ec=0000000660&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=22&ac=0000000049&jc=0000813583&ec=0000000660&pg=applicant/vacancybyfunctionalarea.jsp
813582,Quality Supervisor / Production Supervisor,Western Paper Industries (Pvt) Ltd,Please refer the advertisement ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=23&ac=DEFZZZ&jc=0000813582&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=23&ac=DEFZZZ&jc=0000813582&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=23&ac=DEFZZZ&jc=0000813582&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=23&ac=DEFZZZ&jc=0000813582&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
813581,Assistant Accountant,Trillium Hotels,Advert for Trillium Property Management & Services Ltd ,Wed Feb 17 2021,Wed Feb 24 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=24&ac=DEFZZZ&jc=0000813581&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=24&ac=DEFZZZ&jc=0000813581&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=24&ac=DEFZZZ&jc=0000813581&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=24&ac=DEFZZZ&jc=0000813581&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
813580,Senior HR Executive,Vivo Mobile Lanka (Pvt) Ltd,Please refer the advertisement ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=25&ac=DEFZZZ&jc=0000813580&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=25&ac=DEFZZZ&jc=0000813580&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=25&ac=DEFZZZ&jc=0000813580&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=25&ac=DEFZZZ&jc=0000813580&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
813579,Software Developer,Western Paper Industries (Pvt) Ltd,Please refer the advertisement ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=26&ac=DEFZZZ&jc=0000813579&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=26&ac=DEFZZZ&jc=0000813579&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=26&ac=DEFZZZ&jc=0000813579&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=26&ac=DEFZZZ&jc=0000813579&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
813578,Production Assistant,UniWorld Teas (Pvt) Ltd,Please refer the advertisement ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=27&ac=DEFZZZ&jc=0000813578&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=27&ac=DEFZZZ&jc=0000813578&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=27&ac=DEFZZZ&jc=0000813578&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=27&ac=DEFZZZ&jc=0000813578&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
813577,Executive / Senior Executive - Risk Advisory Services,BDO Partners,part qualified in CIMA / ACCA / CA ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=28&ac=DEFZZZ&jc=0000813577&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=28&ac=DEFZZZ&jc=0000813577&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=28&ac=DEFZZZ&jc=0000813577&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=28&ac=DEFZZZ&jc=0000813577&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
813576,Corporate Planning Manager,Nawata Group (Pvt) Ltd,Associate member of CA/CIMA/ACCA & a degree in well recognized university will be an added advantage ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=29&ac=DEFZZZ&jc=0000813576&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=29&ac=DEFZZZ&jc=0000813576&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=29&ac=DEFZZZ&jc=0000813576&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=29&ac=DEFZZZ&jc=0000813576&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
